"ID","NAZWA"
1,"PKO BP Przelew"
2,"PKO BP Blik"
3,"Santander BP Przelew"
4,"Santander BP Blik"
5,"Banek Pekao Przelew"
6,"Banek Pekao Blik"
7,"ING Bank Œl¹ski Przelew"
8,"ING Bank Œl¹ski Blik"
9,"mBank Przelew"
10,"mBank Blik"
11,"Bank Millenium Przelew"
12,"Bank Millenium Blik"
13,"Alior Bank Przelew"
14,"Alior Bank Blik"
15,"BNP Parbias Przelew"
16,"BNP Parbias Blik"
17,"Credit Agricole Przelew"
18,"Credit Agricole Blik"
19,"Getin Noble Bank Przelew"
20,"Getin Noble Bank Blik"
21,"Euro Bank Przelew"
22,"Euro Bank Blik"
23,"Bank pocztowy Przelew"
24,"Bank pocztowy Blik"
25,"Citi Handlowy Przelew"
26,"Citi Handlowy Blik"
27,"Plus Bank Przelew"
28,"Plus Bank Blik"
29,"TMUB Przelew"
30,"TMUB Blik"
31,"BOŒ Przelew"
32,"BOŒ Blik"
33,"Gotówka"
